@relation DatasetNominal

@attribute Checking_status {<0,0<=X<200,'no checking',>=200}
@attribute Credit_History {'critical/other existing credit','existing paid','delayed previously','no credits/all paid','all paid'}
@attribute Purpose {radio/tv,education,furniture/equipment,'new car','used car',business,'domestic appliance',repairs,other,retraining}
@attribute 'Credit Amount' {'between 1001 and 3000','between 3001 and 6000','between 6001 and 9000','between 9001 and 12000','between 12001 and 15000','between 0 and 1000','between 15001 and 18000','larger than 18000'}
@attribute Saving_status {'no known savings',<100,500<=X<1000,>=1000,100<=X<500}
@attribute Employment {>=7,1<=X<4,4<=X<7,unemployed,<1}
@attribute Personal_status {'male single','female div/dep/mar','male div/sep','male mar/wid'}
@attribute Age {'old age','young adult','older adult',adult}
@attribute Job {skilled,'unskilled resident','high qualif/self emp/mgmt','unemp/unskilled non res'}
@attribute Class {good,bad}

@data
<0,'critical/other existing credit',radio/tv,'between 1001 and 3000','no known savings',>=7,'male single','old age',skilled,good
0<=X<200,'existing paid',radio/tv,'between 3001 and 6000',<100,1<=X<4,'female div/dep/mar','young adult',skilled,bad
'no checking','critical/other existing credit',education,'between 1001 and 3000',<100,4<=X<7,'male single','older adult','unskilled resident',good
<0,'existing paid',furniture/equipment,'between 6001 and 9000',<100,4<=X<7,'male single','older adult',skilled,good
<0,'delayed previously','new car','between 3001 and 6000',<100,1<=X<4,'male single','older adult',skilled,bad
'no checking','existing paid',education,'between 9001 and 12000','no known savings',1<=X<4,'male single',adult,'unskilled resident',good
'no checking','existing paid',furniture/equipment,'between 1001 and 3000',500<=X<1000,>=7,'male single','older adult',skilled,good
0<=X<200,'existing paid','used car','between 6001 and 9000',<100,1<=X<4,'male single',adult,'high qualif/self emp/mgmt',good
'no checking','existing paid',radio/tv,'between 3001 and 6000',>=1000,4<=X<7,'male div/sep','old age','unskilled resident',good
0<=X<200,'critical/other existing credit','new car','between 3001 and 6000',<100,unemployed,'male mar/wid',adult,'high qualif/self emp/mgmt',bad
0<=X<200,'existing paid','new car','between 1001 and 3000',<100,<1,'female div/dep/mar','young adult',skilled,bad
<0,'existing paid',business,'between 3001 and 6000',<100,<1,'female div/dep/mar','young adult',skilled,bad
0<=X<200,'existing paid',radio/tv,'between 1001 and 3000',<100,1<=X<4,'female div/dep/mar','young adult',skilled,good
<0,'critical/other existing credit','new car','between 1001 and 3000',<100,>=7,'male single','old age','unskilled resident',bad
<0,'existing paid','new car','between 1001 and 3000',<100,1<=X<4,'female div/dep/mar',adult,skilled,good
<0,'existing paid',radio/tv,'between 1001 and 3000',100<=X<500,1<=X<4,'female div/dep/mar',adult,'unskilled resident',bad
'no checking','critical/other existing credit',radio/tv,'between 1001 and 3000','no known savings',>=7,'male single','older adult',skilled,good
<0,'no credits/all paid',business,'between 6001 and 9000','no known savings',<1,'male single','young adult',skilled,good
0<=X<200,'existing paid','used car','between 12001 and 15000',<100,>=7,'female div/dep/mar','older adult','high qualif/self emp/mgmt',bad
'no checking','existing paid',radio/tv,'between 3001 and 6000',500<=X<1000,>=7,'male single',adult,skilled,good
'no checking','critical/other existing credit','new car','between 1001 and 3000',<100,1<=X<4,'male single','older adult',skilled,good
<0,'existing paid',radio/tv,'between 1001 and 3000',500<=X<1000,1<=X<4,'male single','older adult',skilled,good
<0,'critical/other existing credit','new car','between 1001 and 3000',<100,<1,'male single','older adult','unskilled resident',good
0<=X<200,'critical/other existing credit','used car','between 1001 and 3000',100<=X<500,<1,'male single','older adult',skilled,good
'no checking','critical/other existing credit',furniture/equipment,'between 1001 and 3000','no known savings',1<=X<4,'male mar/wid',adult,skilled,good
'no checking','no credits/all paid',radio/tv,'between 0 and 1000',<100,>=7,'male mar/wid','older adult','unskilled resident',good
>=200,'all paid',radio/tv,'between 0 and 1000',>=1000,1<=X<4,'female div/dep/mar','older adult',skilled,good
