Checking_status,Credit_History,Purpose,Credit Amount,Saving_status,Employment,Personal_status,Age,Job,Class
<0,critical/other existing credit,radio/tv,between 1001 and 3000,no known savings,>=7,male single,old age,skilled,1
0<=X<200,existing paid,radio/tv,between 3001 and 6000,<100,1<=X<4,female div/dep/mar,young adult,skilled,0
no checking,critical/other existing credit,education,between 1001 and 3000,<100,4<=X<7,male single,older adult,unskilled resident,1
<0,existing paid,furniture/equipment,between 6001 and 9000,<100,4<=X<7,male single,older adult,skilled,1
<0,delayed previously,new car,between 3001 and 6000,<100,1<=X<4,male single,older adult,skilled,0
no checking,existing paid,education,between 9001 and 12000,no known savings,1<=X<4,male single,adult,unskilled resident,1
no checking,existing paid,furniture/equipment,between 1001 and 3000,500<=X<1000,>=7,male single,older adult,skilled,1
0<=X<200,existing paid,used car,between 6001 and 9000,<100,1<=X<4,male single,adult,high qualif/self emp/mgmt,1
no checking,existing paid,radio/tv,between 3001 and 6000,>=1000,4<=X<7,male div/sep,old age,unskilled resident,1
0<=X<200,critical/other existing credit,new car,between 3001 and 6000,<100,unemployed,male mar/wid,adult,high qualif/self emp/mgmt,0
0<=X<200,existing paid,new car,between 1001 and 3000,<100,<1,female div/dep/mar,young adult,skilled,0
<0,existing paid,business,between 3001 and 6000,<100,<1,female div/dep/mar,young adult,skilled,0
0<=X<200,existing paid,radio/tv,between 1001 and 3000,<100,1<=X<4,female div/dep/mar,young adult,skilled,1
<0,critical/other existing credit,new car,between 1001 and 3000,<100,>=7,male single,old age,unskilled resident,0
<0,existing paid,new car,between 1001 and 3000,<100,1<=X<4,female div/dep/mar,adult,skilled,1
<0,existing paid,radio/tv,between 1001 and 3000,100<=X<500,1<=X<4,female div/dep/mar,adult,unskilled resident,0
no checking,critical/other existing credit,radio/tv,between 1001 and 3000,no known savings,>=7,male single,older adult,skilled,1
<0,no credits/all paid,business,between 6001 and 9000,no known savings,<1,male single,young adult,skilled,1
0<=X<200,existing paid,used car,between 12001 and 15000,<100,>=7,female div/dep/mar,older adult,high qualif/self emp/mgmt,0
no checking,existing paid,radio/tv,between 3001 and 6000,500<=X<1000,>=7,male single,adult,skilled,1
no checking,critical/other existing credit,new car,between 1001 and 3000,<100,1<=X<4,male single,older adult,skilled,1
